pid,kicker,kgro,knet,ktb,kr,kry
97664,SJ-0300,59,40,0,TW-2100,19
97684,SJ-0300,70,46,0,TW-2100,24
97706,JW-3300,75,55,1,,0
97714,JW-3300,59,59,0,TK-0500,0
97725,SJ-0300,68,47,0,YM-0100,21
97755,MG-1200,71,47,0,AD-0400,24
97769,MG-1200,70,70,0,,0
97822,MG-1200,72,54,0,AD-0400,18
97834,PD-0200,73,42,0,AS-3400,31
97871,MG-1200,68,45,0,AD-0400,23
97881,PD-0200,67,38,0,AS-3400,29
97916,JN-0600,70,50,1,,0
97942,JN-0600,70,50,1,,0
97960,JN-0600,52,52,0,SM-0100,0
97967,JN-0600,47,47,0,CL-1800,0
97983,HE-0100,68,42,0,EB-0700,26
97998,JN-0600,66,43,0,EJ-1100,23
98000,HE-0100,60,37,0,JS-3200,23
98031,HE-0100,70,38,0,EB-0700,32
98047,JN-0600,74,49,0,EJ-1100,25
98066,JT-4400,70,45,0,ML-1700,25
98084,TG-1500,66,47,0,LB-0400,19
98091,TG-1500,73,51,0,LB-0400,22
98100,TG-1500,69,58,0,KW-0800,11
98111,TG-1500,64,45,0,LB-0400,19
98121,JT-4400,60,-30,0,ML-1700,90
98123,TG-1500,70,51,0,LB-0400,19
98136,JT-4400,72,44,0,ML-1700,28
98145,JT-4400,70,42,0,ML-1700,28
98155,TG-1500,69,39,0,LB-0400,30
98162,TG-1500,63,40,0,LB-0400,23
98194,TG-1500,66,38,0,LB-0400,28
98199,JT-4400,68,36,0,ML-1700,32
98238,OM-0100,65,9,0,KK-0200,56
98248,JE-0200,69,41,0,TM-2800,28
98265,JE-0200,69,3,0,TM-2800,66
98283,JE-0200,68,46,0,TM-2800,22
98293,OM-0100,72,40,0,KK-0200,32
98314,JE-0200,67,41,0,TM-2800,26
98321,JE-0200,67,45,0,TM-2800,22
98365,OM-0100,67,44,0,KK-0200,23
98371,OM-0100,69,50,0,KK-0200,19
98386,JE-0200,57,27,0,TM-2800,30
98401,JE-0200,65,44,0,TM-2800,21
98407,OM-0100,55,35,1,,0
98409,RL-0900,58,43,0,TJ-0400,15
98422,JC-5000,69,45,0,MM-5300,24
98435,JC-5000,66,39,0,MM-5300,27
98447,RL-0900,58,45,0,TJ-0400,13
98474,RL-0900,60,40,0,CW-3200,20
98485,JC-5000,62,47,0,MM-5300,15
98498,JC-5000,67,44,0,MM-5300,23
98520,JC-5000,61,46,0,MM-5300,15
98530,RL-0900,62,42,0,CW-3200,20
98553,JC-5000,53,35,0,MM-5300,18
98573,MK-1100,72,35,0,MJ-0700,37
98584,BG-1300,59,36,0,RS-3500,23
98648,BG-1300,68,48,0,RS-3500,20
98664,MK-1100,69,39,0,MJ-0700,30
98724,BG-1300,72,46,0,RS-3500,26
98750,JF-0900,67,49,0,DB-4600,18
98782,JF-0900,70,50,1,,0
98814,JF-0900,68,41,0,DB-4600,27
98825,TS-0500,65,49,0,AR-1700,16
98844,JF-0900,73,50,0,DB-4600,23
98858,JF-0900,57,42,0,DB-4600,15
98870,JF-0900,70,50,1,,0
98889,JF-0900,70,50,1,,0
98904,HE-0100,60,41,0,RT-0200,19
98947,MS-5200,61,42,0,SM-0100,19
98964,HE-0100,62,44,0,RT-0200,18
98982,MS-5200,48,37,0,PW-0500,11
99002,MS-5200,57,39,0,SM-0100,18
99022,MS-5200,59,39,0,SM-0100,20
99059,HE-0100,14,14,0,,0
99074,KB-2300,68,49,0,AD-0400,19
99110,PD-0200,65,32,0,JL-1600,33
99116,KB-2300,62,40,0,AD-0400,22
99147,PD-0200,49,48,0,MN-0700,1
99160,PD-0200,57,40,0,JL-1600,17
99167,KB-2300,65,-30,0,AD-0400,95
99169,PD-0200,50,34,0,JL-1600,16
99178,KB-2300,62,30,0,AD-0400,32
99187,PD-0200,55,35,0,JL-1600,20
99215,PD-0200,65,52,0,JL-1600,13
99230,PD-0200,44,45,0,JL-1600,-1
99240,PE-0100,71,48,0,DH-4200,23
99285,PE-0100,60,52,0,LF-0600,8
99297,JH-0900,69,51,0,VS-0300,18
99308,JH-0900,65,49,0,VS-0300,16
99318,PE-0100,46,26,0,LF-0600,20
99319,JH-0900,60,45,0,VS-0300,15
