pid,punter,pgro,pnet,ptb,pr,pry,pfc
579103,RQ-0050,34,34,0,,0,0
579109,RA-0850,37,37,0,,0,0
579114,RQ-0050,52,23,0,JE-0100,29,0
579120,RA-0850,57,37,1,,0,0
579130,RA-0850,52,37,0,JC-5600,15,0
579136,RQ-0050,29,29,0,JE-0100,0,1
579140,RA-0850,53,45,0,JC-5600,8,0
579155,RA-0850,44,23,0,JC-5600,21,0
579185,RQ-0050,37,25,0,JE-0100,12,0
579192,RA-0850,47,47,0,JC-5600,0,1
579202,RQ-0050,52,52,0,,0,0
579222,RA-0850,62,42,1,,0,0
579261,BA-0850,43,23,1,,0,0
579317,BA-0850,54,54,0,,0,0
579355,BA-0850,53,42,0,KA-0650,11,0
579359,MS-0600,47,47,0,WB-0700,0,1
579370,MS-0600,43,43,0,WB-0700,0,0
579377,MS-0600,44,44,0,,0,0
579399,DC-3200,32,32,0,,0,0
579437,DC-3200,63,57,0,KM-0450,6,0
579448,SL-0400,34,34,0,,0,0
579479,SL-0400,58,53,0,DM-1200,5,0
579518,SL-0400,53,29,0,DM-1200,24,0
579522,DC-3200,48,48,0,KM-0450,0,1
579526,SL-0400,56,30,0,DM-1200,26,0
579534,SL-0400,48,47,0,DM-1200,1,0
579541,DC-3200,31,31,0,,0,0
579557,BF-0300,46,46,0,LM-1100,0,0
579564,BM-3600,62,58,0,MT-0550,4,0
579569,BF-0300,53,39,0,LM-1100,14,0
579592,BM-3600,39,32,0,MT-0550,7,0
579604,BM-3600,43,43,0,MT-0550,0,1
579608,BF-0300,47,47,0,LM-1100,0,1
579629,BF-0300,58,58,0,,0,0
579633,BM-3600,44,44,0,MT-0550,0,0
579647,BM-3600,37,37,0,,0,0
579680,BF-0300,35,35,0,,0,0
579687,BM-3600,50,30,1,,0,0
579696,BF-0300,43,43,0,LM-1100,0,1
579700,BM-3600,43,43,0,MT-0550,0,0
579722,SM-0650,65,57,0,AJ-1200,8,0
579752,KH-2600,49,49,0,MS-3900,0,0
579836,SM-0650,45,45,0,,0,0
579840,KH-2600,50,50,0,MS-3900,0,1
579853,KH-2600,45,44,0,MS-3900,1,0
579862,SM-0650,35,35,0,BT-0300,0,1
579872,KH-2600,45,45,0,,0,0
579878,SM-0650,28,28,0,,0,0
579887,DJ-2800,53,47,0,DH-1800,6,0
579891,CJ-2100,48,48,0,DJ-0950,0,1
579899,DJ-2800,58,38,1,,0,0
579911,CJ-2100,21,21,0,DJ-0950,0,1
579917,DJ-2800,40,40,0,DH-1800,0,0
579922,CJ-2100,43,43,0,DJ-0200,0,1
579926,DJ-2800,44,43,0,DH-1800,1,0
579931,CJ-2100,41,41,0,DJ-0950,0,1
579938,DJ-2800,46,46,0,,0,0
579945,CJ-2100,32,32,0,DJ-0950,0,1
579949,DJ-2800,44,35,0,DH-1800,9,0
579965,DJ-2800,49,42,0,DH-1800,7,0
579969,CJ-2100,45,45,0,,0,0
