pid,psr,ints,iry
14331,JH-1100,HJ-0100,0
14421,TC-2600,BJ-1000,2
14477,TC-2600,BJ-1000,36
14486,TC-2600,RC-2600,5
14857,DB-2600,VG-0200,21
14966,DB-2600,VG-0200,36
14988,DB-2600,ML-1800,23
15009,MB-2500,AG-0800,0
15061,SB-0700,KM-0500,0
15179,TA-0300,JS-1700,0
15220,TA-0300,SW-1500,12
15228,TA-0300,DT-0700,0
15256,TA-0300,RS-2900,0
15300,TA-0300,MB-0700,7
15463,SM-2700,DW-1400,30
15518,SM-2700,BA-0300,15
15663,BH-2100,CC-4500,0
15727,CC-1400,DM-1000,0
15810,KW-0500,RB-4600,3
15925,TB-0200,KM-2300,0
15937,BJ-1400,DS-4000,6
16390,SK-0400,BW-1100,16
16440,SK-0400,CC-1800,1
16469,SK-0400,BW-1100,0
16522,JB-3800,RB-2700,13
16702,TB-0200,RG-1200,24
16708,TB-0200,RG-1200,1
16732,TB-0200,DS-2100,0
16747,SM-2400,KH-1700,19
16750,TD-1400,MB-2900,2
16829,JG-0600,MM-3400,30
17053,BG-1900,CC-0800,6
17137,JP-3200,PS-0700,43
17187,JP-3200,CW-2500,0
17213,JP-3200,DW-4600,0
17430,MB-4500,DS-0400,21
17542,BJ-1400,ML-2300,0
17550,MB-4500,MS-4700,0
17593,KW-0500,JH-2600,10
17615,KW-0500,JB-7200,0
17711,TG-1600,GW-0600,28
17884,DC-4400,SR-0900,10
17971,BH-2100,EA-0400,0
18049,RG-0200,WW-0700,0
18189,JM-4500,BD-0700,30
18247,DM-2200,TP-0400,7
18298,DP-0800,LK-0500,1
18333,DP-0800,CS-1100,3
18367,DP-0800,BA-0300,7
18466,VT-0200,SM-0200,0
18497,VT-0200,PS-1000,0
18532,VT-0200,BW-0300,12
18539,JF-1400,MC-2100,0
18624,JF-1400,MC-2100,7
18629,JF-1400,MC-2100,0
18725,JP-3200,SK-0500,0
18739,JP-3200,KM-2200,40
18782,JB-3800,CC-1500,0
18839,CC-1400,SG-0600,0
18872,SB-0700,AA-1200,42
18892,CC-1400,MM-3400,8
18940,SB-0700,RB-4600,13
18958,SB-0700,RB-4600,0
19056,TD-1400,DW-1400,0
19144,VT-0200,KC-0300,22
19158,VT-0200,HJ-0100,45
19307,AS-1400,WR-0200,5
19404,SW-2400,TC-0800,30
19461,RC-2800,DD-0100,21
19669,PM-0200,BW-1100,9
19704,CB-0900,TP-1900,1
19709,PM-0200,RR-0500,7
19736,CB-0900,DM-0100,0
19891,BF-0100,BM-0200,24
20038,DM-2200,EM-0900,1
20083,TG-1600,JW-1600,8
20272,JK-1500,GW-0600,0
20302,EG-0600,JB-2900,32
20337,JK-1500,JH-2600,0
20350,EG-0600,JB-2900,0
20367,EG-0600,AS-1000,7
20414,JK-1500,PD-0400,0
20481,DC-4400,DB-4200,34
20555,DC-4400,DA-0100,5
20714,RG-0200,JS-1500,0
20738,JH-1100,MP-1600,0
20815,BJ-1400,SR-1100,81
20882,BJ-1400,SR-1100,0
20889,BJ-1400,DS-2100,0
20901,JG-1000,AW-1300,26
20973,JG-1000,ZW-0100,0
21016,JP-3200,DS-0400,32
21061,CC-1400,DA-0100,23
21076,CC-1400,DA-0100,22
21088,SK-0400,RB-4600,60
21128,DK-0200,DR-2100,0
21181,DK-0200,JD-3100,-1
21287,PM-0200,WH-0200,35
21650,DP-0800,EM-0900,6
21828,SC-0200,AD-1000,15
21867,DB-2600,KI-0100,1
21924,JF-3200,JH-4600,0
22015,JG-0600,SK-0500,0
22156,JG-0600,FW-0500,0
22219,VT-0200,KK-0400,0
22246,BG-1900,JF-0500,0
22247,VT-0200,EB-1700,0
22367,EG-0600,CW-3700,23
22409,EG-0600,JT-0700,24
22574,RC-2800,BD-0700,0
22577,DM-2200,DW-4600,12
22704,DM-2200,BW-2800,1
22739,JH-1100,AS-1000,8
22806,JK-1500,RH-1100,0
22895,KS-2300,SR-1100,2
22901,SM-2400,JP-3600,0
23116,SB-0700,DM-1000,0
23227,DC-4400,DS-1600,4
23237,DC-4400,DS-1600,18
23261,DC-4400,MM-2700,26
23339,MB-2100,TW-2900,0
23444,DF-1300,WH-0200,0
23449,SM-0900,KC-0300,19
23469,SM-0900,KC-0300,12
23498,SM-0900,DP-1900,0
23541,SB-0700,DH-4100,0
23566,JB-3800,ED-0100,0
23645,SB-0700,DP-1200,0
23698,DB-2600,DH-3600,0
23965,AS-1400,DN-0800,7
24048,CB-0900,EW-1050,1
24146,DK-0200,CB-4100,12
24158,DK-0200,BW-1100,0
24362,DC-4400,AW-1300,13
24541,KC-2000,DM-1000,2
24567,TG-1600,RP-1000,10
24589,KC-2000,LF-0300,12
24677,KS-2300,BT-0500,38
24901,MM-5000,BW-0300,31
24913,MM-5000,SM-0200,22
24940,RL-0300,BW-0300,7
25010,JH-1100,PS-1000,0
25057,EG-0600,ZB-0300,23
25258,SK-0400,AE-0400,4
25469,TD-1400,PP-0500,87
25515,VT-0200,JB-7900,11
25537,VT-0200,MW-0800,1
25658,RG-0200,RC-2600,0
25707,RG-0200,BR-1300,-3
25726,BG-1900,WT-0100,1
25891,TA-0300,RW-4100,0
25904,TD-1400,PS-0700,16
25908,TA-0300,CH-1800,42
25940,TD-1400,PS-0700,0
25973,TA-0300,RL-0600,0
26048,SK-0400,TP-0400,38
26082,SM-0900,DR-2100,0
26117,SK-0400,BU-0200,19
26136,RL-0300,BR-1300,3
26188,GF-0400,RB-1700,7
26203,GF-0400,ST-1300,75
26254,GF-0400,FB-0700,0
26275,GF-0400,DJ-0800,16
26384,PM-0200,TM-1100,0
26448,BF-0100,EJ-0700,-1
26648,EG-0600,KC-0300,2
26699,VT-0200,BW-0300,0
26706,DH-4300,CH-2200,0
26772,VT-0200,TS-1300,0
26785,DH-4300,TS-0800,0
26792,DH-4300,SE-0400,1
26875,SB-0700,RT-0200,0
26962,SB-0700,KW-2400,14
27077,DB-2600,RB-1600,0
27095,SM-2700,LM-1300,2
27192,AB-2900,CW-3700,0
27334,KC-2000,KS-0300,14
27457,CB-0900,SW-1500,0
27511,DM-2200,RF-1300,8
27620,DB-4500,MC-0100,26
27742,CC-1400,JW-1600,70
27826,SM-2400,JM-4400,0
27844,SM-2400,LC-0500,0
27845,DP-0800,SR-1100,17
27873,SM-2400,PE-0200,33
27995,KS-2300,KH-0500,0
28085,MB-4500,CS-1100,8
28116,KS-2300,DD-0100,5
28134,JG-1000,DM-1000,23
28260,TG-1600,CB-0100,48
28412,TA-0300,RG-2000,25
28554,DB-2600,MW-0300,10
28574,DB-2600,BW-1100,101
28666,DP-0800,CM-1200,14
