pid,psr,ints,iry
135045,MB-4800,AS-1000,1
135310,PR-0100,WA-0200,22
135408,JF-1400,NC-0200,0
135422,DB-2600,SK-0500,32
135440,TH-1400,PS-1000,0
135452,DB-2600,BM-0200,0
135513,JF-1400,NC-0200,54
135716,MT-2100,KH-1600,0
135730,KB-1300,GW-0600,0
135834,KB-1300,DM-1000,0
135874,KB-1300,DM-1000,0
136151,DJ-1800,RM-0500,4
136349,TC-2600,JB-7900,17
136580,DC-0700,FB-0800,-12
136583,BL-0600,KW-2600,-2
136592,BL-0600,MC-2100,0
136601,BL-0600,KW-2600,0
136660,SM-0100,JC-5500,8
136697,JG-0600,CC-1500,39
136745,JG-0600,BW-2200,7
136758,JG-0600,BR-1500,19
136934,QC-0100,SG-0300,0
137057,DB-3800,EJ-0800,3
137059,RG-0200,DE-0400,12
137242,TM-0200,SR-1100,49
137287,TM-0200,RB-2300,60
137397,MB-4800,DJ-0300,28
137544,TB-2300,IO-0100,0
137554,TB-2300,CB-0100,0
137601,TB-2300,RB-1500,0
137645,AB-2900,JN-0700,10
137758,AB-2900,JN-0700,10
137843,BF-0100,MG-1500,3
137892,KS-2300,ND-0400,13
137967,KS-2300,ND-0400,0
138096,DJ-1800,CC-1800,3
138097,GF-0400,KC-0300,14
138116,DJ-1800,BR-1500,28
138260,JK-1500,AS-0400,6
138363,AB-2900,RH-3100,0
138554,KS-2300,CW-3700,51
138564,KS-2300,CW-3700,16
138577,RG-0200,AB-3300,0
138615,RG-0200,RM-3400,43
138686,QC-0100,RH-2200,-2
138730,JB-3800,AS-1200,1
138785,JB-3800,RW-3100,39
138895,MH-1600,DS-1600,19
139151,TG-1600,DO-0200,6
139447,SM-2400,TL-0500,65
139484,KC-2000,BM-0200,3
139492,KC-2000,PS-1000,2
139606,KC-2000,PS-1000,0
139655,DM-2200,FS-0400,0
139658,PR-0100,RH-2900,5
139681,DM-2200,JT-3400,21
139735,PR-0100,NK-0300,15
139801,JH-1700,AP-1700,4
139859,JG-0600,DB-2800,-1
139912,JH-1700,TP-0400,49
140049,TM-0200,DM-1500,75
140060,TC-2600,BA-0300,0
140095,TM-0200,EL-0400,3
140140,BJ-1400,MD-0800,15
140250,PM-0200,RB-0700,29
140353,JB-3800,CM-1200,4
140409,JB-3800,CM-1200,83
140444,JB-3800,ER-0100,33
140637,QC-0100,TV-0200,0
140785,SB-0700,CS-1100,24
140828,SB-0700,BA-0300,14
141070,BF-0100,JW-6300,79
141161,JD-1400,IB-0100,9
141193,PM-0200,RM-0500,2
141304,BL-0600,JZ-0200,0
141342,JF-1400,JC-5500,21
141349,BL-0600,SM-0200,17
141442,BL-0600,SM-0200,29
141451,KC-2000,TP-1900,13
141525,KC-2000,RH-1100,2
141599,KC-2000,RH-1100,-2
141627,KC-2000,EW-1400,6
141908,DB-2600,AB-1000,39
141924,AV-0200,RM-4000,0
141974,DC-0700,RB-2300,10
142051,DC-0700,AD-1700,51
142084,DC-0700,AW-2000,4
142191,PR-0100,DS-3100,0
142224,PR-0100,DB-4200,44
142352,MH-1600,TP-0400,0
142419,DJ-1800,AW-1300,4
142503,MB-4800,RB-4600,2
142530,MB-4800,TM-1100,4
142546,KK-0900,TF-0500,74
142699,KK-0900,FT-0200,-2
142794,DB-2600,DT-0400,1
143107,KB-1300,TJ-0800,31
143276,TC-2600,KL-0500,38
143302,DB-3800,EL-0400,3
143328,TC-2600,TK-0300,15
143437,JH-1700,DC-2400,24
143452,JH-1700,ME-0400,27
143547,MM-2800,DR-3300,0
143717,JF-1400,EW-1400,0
143867,JF-1400,TP-1900,0
143894,SB-0700,BR-1500,3
143918,SB-0700,CC-1500,32
143961,SB-0700,LJ-1200,33
144096,DM-2200,WA-0200,1
144191,BJ-1400,AP-1700,0
144284,BJ-1400,MR-2400,12
144318,JG-0600,SR-0600,12
144323,BJ-1400,JP-2500,31
144397,CC-1400,AS-1000,33
144425,MH-1600,MB-4100,0
144499,CC-1400,MT-1900,6
144509,MB-4800,MA-0900,3
144546,MB-4800,AH-1000,0
144650,BF-0100,LL-1000,28
144702,RG-0200,EW-0300,5
144774,TG-1600,PB-0800,0
144777,MT-2100,DM-1000,-3
144879,AB-2000,RH-1400,0
145124,DK-0200,RL-0600,37
145155,DK-0200,GB-0300,34
145216,JH-1700,CT-1500,32
145253,JH-1700,JA-3100,11
145393,MH-1600,TJ-0800,1
145476,MH-1600,BS-2000,1
145493,MH-1600,JB-7900,0
145646,TB-0200,IB-0100,0
145687,BL-0600,AD-1700,0
145760,SM-2400,TB-2200,4
145769,BL-0600,TB-0800,0
145841,KC-2000,CC-1500,0
145954,DC-4400,FW-0300,18
145976,DC-4400,JH-2000,0
146127,KH-2100,TL-0500,0
146244,AB-2900,WW-0800,10
146396,DM-2200,AB-1000,25
146418,CP-0900,ML-1600,23
146542,TM-0200,JD-3100,0
146610,TM-0200,AW-1300,5
146619,TM-0200,DG-3000,7
146655,QC-0100,JP-2700,41
146702,QC-0100,RB-0700,24
146849,DB-2600,EW-0300,0
146856,DB-2600,DM-1000,0
146878,DB-2600,RS-1300,8
146911,AV-0200,EW-0300,20
146919,AV-0200,JW-6300,0
146929,DB-3800,PS-1000,32
146938,DB-3800,ZT-0100,19
146988,DB-3800,PS-1000,0
147185,JK-1500,RH-2200,7
147230,JK-1500,DJ-0300,14
147256,KK-0900,LS-0800,34
147456,KB-1300,MP-1000,0
147570,BL-0600,RL-0600,0
147617,DB-3800,CT-1500,-5
147679,CC-1400,SD-0200,7
147715,QC-0100,MB-3200,0
147728,QC-0100,IO-0100,30
147877,MT-2100,OS-0800,0
147929,JH-1700,RW-4100,5
148013,RM-4300,BW-0200,0
148028,RM-4300,TH-2200,30
148060,JD-1400,AG-0800,0
148317,PM-0200,TB-3700,1
148380,CP-0900,RB-3400,22
148439,CP-0900,SW-1500,14
148598,MB-4800,TP-0400,14
148638,TR-0100,PT-0600,6
148664,MB-4800,MR-2400,2
148887,BJ-1400,AA-1200,1
148948,AB-2900,DB-4200,12
148952,BJ-1400,AA-1200,73
149067,BF-0100,CC-1500,25
149180,TB-2300,KK-0400,0
149340,DK-0200,AS-0100,0
149354,BJ-1400,MM-3400,29
149404,JD-1400,TW-0500,23
149488,JD-1400,TW-0500,15
149587,JK-1500,KW-2600,0
149670,DC-0700,TR-0400,6
149990,CC-1400,CH-1800,-1
149998,PM-0200,DD-0100,4
150145,MR-2100,DT-1600,2
150158,PM-0200,DC-3700,12
150316,KH-2100,GW-0600,18
150403,KC-2000,BS-1500,0
150427,KC-2000,TM-1100,25
150978,DC-4400,TK-0300,0
151086,BG-1900,AD-1700,11
151097,BG-1900,SR-1100,36
151115,BG-1900,KB-2400,0
151189,PR-0100,DR-2100,0
151228,PR-0100,AS-1000,4
151297,MH-1600,FS-0400,0
151304,KB-1300,JB-8500,45
151330,MB-4800,RL-0600,20
151422,CR-0600,JB-8500,14
151423,MB-4800,ER-0100,0
151444,CR-0600,TP-1700,22
151538,BF-0100,NW-0200,33
151737,TB-0200,AW-1800,11
151804,JD-1400,FS-0400,35
151844,JD-1400,MB-3200,44
151892,PR-0100,SB-2000,10
151964,MB-4800,CT-1500,0
151965,CC-1400,JB-8500,0
151995,CC-1400,TP-1700,0
152095,MB-4800,JA-3100,2
152309,JB-3800,EL-0400,10
152417,JM-2900,BB-2500,4
152439,JM-2900,LB-0600,1
152513,DF-1300,KH-1600,16
152549,JP-3200,SD-0200,41
152589,DK-0200,QJ-0100,0
152797,AW-2100,SM-0200,36
152896,BG-1900,ER-0100,10
152898,AW-2100,SK-0500,17
152952,AB-2900,TM-1100,15
152981,AB-2900,JB-4100,20
153040,KK-0900,FT-0200,15
153087,KK-0900,JB-2900,8
153117,DC-4400,PB-0800,64
153220,DC-4400,PB-0800,0
153268,DC-4400,RW-4100,13
153444,KC-2000,TV-0200,0
153574,JH-1700,SS-2600,8
153600,JH-1700,RT-1200,0
153686,BJ-1400,NB-0100,0
153715,BF-0100,TR-0600,6
153768,BJ-1400,DS-1600,0
153775,SM-2400,RM-1300,0
153830,BL-0600,SR-1100,52
153855,BL-0600,RC-0200,15
154028,QC-0100,TL-0500,2
154055,QC-0100,TP-1900,0
154074,QC-0100,TL-0500,45
154115,TM-0200,TP-0400,48
154239,JB-3800,PT-0600,29
154281,MB-4800,DB-0900,25
154299,MB-4800,RH-2200,70
154319,JB-3800,TF-0500,57
154345,MB-4800,RH-2200,26
154372,MB-4800,CR-0800,5
154535,DJ-1800,RC-0200,11
154939,DB-2600,DT-1600,1
155065,KH-2100,BA-0300,34
155107,KH-2100,CS-1100,0
155197,QC-0100,DG-2400,0
155210,JD-1400,RW-3100,30
155474,BF-0100,ZB-0300,22
155486,BF-0100,TP-0400,11
155551,BF-0100,MR-2400,5
155586,TR-0100,AE-0400,5
155645,TB-2300,EB-1700,5
155699,TB-2300,MC-2100,29
155756,TB-0200,MV-0400,4
155980,JH-1700,BW-2200,18
156003,DC-4400,BW-0200,0
156012,JH-1700,BW-2200,11
156097,JH-1700,CC-1500,32
156100,JH-1700,BW-2200,42
156118,CP-0900,MP-1000,1
156149,BL-0600,AB-1000,0
156644,BG-1900,DT-0400,20
156722,BG-1900,RB-1500,1
156784,TH-0900,BM-0200,0
156907,KC-2000,DS-3100,0
156916,BJ-1400,FW-0300,56
156939,KC-2000,JL-3400,18
157071,QC-0100,PS-1000,11
157106,QC-0100,SK-0500,70
157117,QC-0100,ZT-0100,2
157211,BF-0100,DB-2800,2
157248,JH-1700,MM-2700,0
157257,BF-0100,DB-2800,19
157273,BF-0100,DE-1200,2
157286,JG-0600,EH-0200,26
157303,AW-2100,TP-0400,0
157361,JG-0600,RL-0600,29
157403,JG-0600,GB-0300,7
157409,JG-0600,WD-0500,3
157445,DM-2200,MR-2300,0
157718,JB-3800,RM-3400,29
157756,JB-3800,JA-3100,6
157855,DJ-1800,MC-2100,22
157873,DC-0700,CD-2000,4
158015,PM-0200,TP-1900,7
158017,TB-2300,DS-4800,24
158031,TB-2300,NH-0300,3
158380,JP-3200,PB-0800,0
158503,TM-0200,AH-2000,8
158584,TG-1600,QJ-0100,0
158629,DF-1300,DM-1000,0
158707,TG-1600,QJ-0100,0
158730,DF-1300,GW-0600,27
158822,MH-1600,KL-0100,0
158873,KH-2100,KL-1500,27
158977,MB-4800,BR-1500,44
159019,DC-4400,TJ-0500,11
159094,TH-0900,FT-0200,14
159274,BJ-1400,MP-1000,7
159433,SM-2400,SG-0300,0
159440,CP-0900,AD-1700,0
159455,SM-2400,TC-1100,14
159459,CP-0900,SR-1100,4
159611,AW-2100,RB-1700,0
159673,AW-2100,KK-0100,10
159679,JK-1500,WD-0500,54
159688,JK-1500,RL-0600,1
159784,DB-2600,RM-4000,16
159848,CP-0900,TM-1900,3
160062,DF-1300,TH-2200,12
160217,BF-0100,LB-0900,45
160271,KS-2300,DS-1600,50
160278,KS-2300,MM-2700,8
160316,KS-2300,MM-2700,90
160515,DR-0200,PS-0800,2
160587,MH-1600,KI-0100,1
160680,MH-1600,MN-0200,80
160820,JF-1400,TB-3400,5
160834,JF-1400,TL-0500,0
160975,BJ-1400,OR-0300,7
161083,KC-2000,CB-0100,2
161236,QC-0100,SB-1700,10
161301,QC-0100,BT-0500,2
161390,RM-4300,DW-1400,7
161411,TM-0200,DG-1000,5
161466,RM-4300,BA-0300,15
161555,JB-3800,TP-0400,17
161816,JD-1400,JB-4100,0
161979,MV-0300,DG-2400,0
161984,JD-1400,KM-0500,32
162026,MB-4800,EL-0400,0
162059,KH-2100,AW-1300,46
162063,KH-2100,AW-1300,27
162152,JD-1400,DJ-0300,21
162155,JM-2900,MM-3400,35
162451,DC-4400,CT-1500,0
162707,JP-3200,RG-2000,0
162737,TC-2600,LW-0200,0
162849,MV-0300,DM-0100,0
162966,JH-1700,KM-2100,3
163214,BL-0600,TP-1900,17
163240,BL-0600,TP-1900,44
163416,AW-2100,PB-0800,29
163661,DB-3800,DS-1600,9
163697,BF-0100,SC-1400,25
163799,MH-1600,TF-0500,9
163844,MB-4800,RG-1200,7
164308,TH-0900,TN-0400,0
164321,TH-0900,TN-0400,25
164371,TH-0900,TN-0400,-2
164393,TH-0900,PH-0900,0
164580,JF-1400,BD-0700,0
164625,DM-2200,ZT-0100,0
164719,JF-1400,ML-1600,5
164841,DC-4400,GW-0600,-1
164847,TG-1600,BR-1500,50
164896,TG-1600,BR-1500,16
164903,CP-0900,TB-3400,3
164942,CP-0900,WM-0500,15
164999,CP-0900,TL-0500,0
165031,CP-0900,RH-1100,0
165034,DG-1200,TC-1100,23
165054,CP-0900,EW-1400,10
165085,BJ-1400,KN-0200,29
165120,BJ-1400,KC-0300,0
165130,BJ-1400,JB-4100,41
165134,BJ-1400,BS-1500,3
165294,JF-1400,TM-1900,2
165314,DB-2600,TB-3700,74
165402,JD-1400,TH-2200,0
165435,MM-2800,MM-3400,29
165535,RG-2300,FS-0400,0
165765,AW-2100,EL-0400,4
165811,TC-2600,CW-2400,52
166075,DC-0700,SR-1100,0
166084,SM-2400,MM-2400,95
166154,DC-0700,SR-1100,0
166166,BL-0600,AA-1200,4
166219,BL-0600,FT-0200,20
166317,DM-2200,TP-0400,34
166479,DM-2200,TP-0400,29
166588,DB-3800,DT-1900,-1
166624,DB-3800,DT-1900,25
166717,TD-1400,RH-2200,18
166756,MH-1600,DJ-0300,7
166815,MB-4800,TJ-0800,0
166829,JK-1500,TP-1700,6
166899,JK-1500,AA-1500,22
166948,JK-1500,JB-8500,13
166968,JP-3200,GB-0700,31
167211,RM-4300,MH-2000,0
167261,RJ-1200,MH-2000,8
167292,DB-2600,MV-0400,14
167442,TB-3200,LI-0100,0
167500,MH-1600,JU-0100,7
167518,JG-0600,MT-1900,15
167587,MH-1600,JW-1600,17
167749,TH-0900,ML-1600,3
167830,DC-4400,DJ-0300,30
167886,JM-2900,KW-1400,3
168034,MV-0300,AA-2000,2
168231,JK-1500,RG-2000,3
168345,MB-4800,BB-0300,-2
168371,JH-1700,PT-0600,11
168441,JJ-0300,AH-1000,33
168442,BF-0100,SB-1300,0
168480,DK-0200,DS-1600,0
168608,PM-0200,MC-2100,41
168686,DC-0700,DS-4800,19
168777,TG-1600,JA-3100,25
168807,KS-2300,SF-0800,8
168815,KS-2300,GW-0600,3
169005,JF-1400,VH-0300,26
169080,QC-0100,TJ-2500,2
169100,QC-0100,JB-2900,10
169178,QC-0100,JB-2900,1
169222,JP-0200,RM-0500,27
169228,JP-0200,AW-0300,5
169259,JD-1400,JH-2000,3
169267,JP-0200,DG-2400,25
169291,JP-0200,RH-3100,2
169519,TM-0400,DE-0400,15
169580,NO-0100,DS-3100,0
169583,BJ-1400,JK-0300,0
169599,BJ-1400,TW-2200,0
169622,BJ-1400,TW-2200,0
169680,SK-0400,KB-2400,9
169704,AW-2100,DT-1900,0
169706,TM-0200,ER-0100,7
169774,TM-0200,RL-0600,14
169839,TM-0200,CM-1200,6
169876,SM-2400,WD-0500,56
169897,SM-2400,ER-0100,23
169924,AW-2100,AD-1700,0
169971,AW-2100,SR-1100,1
169992,SM-2400,CM-1200,0
170149,QC-0100,JP-2000,34
170342,MH-1600,AH-1000,52
170415,JP-3200,DM-0100,21
170456,JP-3200,DM-0100,31
170519,SM-2400,RH-1100,7
170669,JD-1400,TP-1700,37
170755,MB-4800,MM-3400,-1
170766,MB-4800,DG-2400,16
170824,MB-4800,RM-0500,0
171147,BF-0100,BD-0700,35
171180,PM-0200,RH-1100,0
171196,PM-0200,TL-0500,6
171268,PM-0200,TL-0500,0
171274,TB-2300,WH-0200,0
171288,PM-0200,TL-0500,20
171393,DM-2200,RM-0500,0
171409,DM-2200,RM-0500,2
171419,DM-2200,RM-0500,13
171460,KD-0600,DM-3500,-2
171625,TB-2300,RH-3100,12
171682,PM-0200,TB-3400,5
171800,TB-2300,NH-0300,12
171873,JF-1400,SR-1100,0
171882,JF-1400,AD-1700,11
171930,AF-0300,LT-0300,37
172009,BL-0600,NC-0200,2
172103,BL-0600,IR-0300,33
172187,RG-2300,AG-1200,0
172238,JH-1700,MG-1500,0
172313,RG-2300,BW-0200,0
172431,KB-1300,AH-2700,0
172457,KB-1300,AD-0300,2
172549,DC-0700,JW-5000,0
172559,DC-0700,SF-0300,0
172795,MH-1600,AA-1200,0
172894,AB-2900,MB-3100,0
173087,CP-0500,EC-0300,4
173309,RG-0200,DT-1900,0
173377,RG-0200,JF-0500,36
173506,MV-0300,JU-0100,19
173546,TR-0100,AB-1000,85
173611,MB-4800,QH-0100,-1
173866,BJ-1400,AP-1200,16
173962,TG-1600,CB-0100,0
173982,JP-3200,MB-1200,-1
173993,JP-3200,SB-0200,10
174161,JD-1400,NB-0100,16
174257,JM-2900,EW-1400,14
174281,TB-2300,DM-0100,0
174305,TB-2300,JD-0200,65
174351,JM-2900,EW-1400,13
174509,MB-4800,AB-1000,0
174633,BR-1100,AT-0400,8
174685,BR-1100,CM-1200,51
174789,JG-0600,DN-0800,19
174805,VT-0200,AH-2700,51
174817,VT-0200,DM-1500,2
174821,JG-0600,PH-0900,2
174826,VT-0200,RG-2000,18
174831,JG-0600,TN-0400,21
174897,DC-0700,KS-1400,2
174937,JH-1700,AG-0800,23
175041,RG-2300,DS-1600,0
175064,BF-0100,MG-1500,0
175149,BF-0100,BG-1500,31
175366,JD-1400,EW-0300,0
175427,JD-1400,EW-0300,43
175467,TG-1600,CG-0200,13
175654,KD-1400,AA-1200,19
175715,MB-4500,FR-0100,13
175776,PR-0100,BA-0300,0
175795,PR-0100,GW-1500,0
175805,PR-0100,BA-0300,1
175902,DB-2600,RB-4600,27
175989,DB-3800,EC-0300,1
176063,DB-3800,JM-3200,0
176141,MH-1600,DB-4200,3
176168,BJ-1400,MT-1900,41
176288,CS-1700,MB-3100,6
176414,SM-2400,NH-0300,0
176512,CP-0500,JT-0900,-3
176516,AF-0300,TJ-0800,0
176539,AF-0300,BS-2000,50
176777,DC-4400,IR-0200,15
176897,MV-0300,AW-1500,11
176995,CP-0500,ER-0100,40
177053,CP-0500,ER-0100,50
177097,CP-0500,CW-2400,18
177605,DP-0800,DT-1600,5
177619,DC-0700,EW-0300,0
177713,TG-1600,MC-2100,102
177771,BR-1100,PS-1000,0
177776,AF-0300,DT-1900,0
177787,AF-0300,TP-1600,10
178173,JG-0600,GW-1500,0
178261,KD-1400,KL-1500,25
178388,KD-1400,KH-0300,0
178602,SM-2400,RM-1300,21
178831,BJ-1400,PB-0800,32
178869,KC-2000,BK-0600,16
179286,DB-2600,TP-1900,21
179488,JD-1400,BS-1500,22
179514,JD-1400,KM-0500,35
179645,DM-2200,NV-0100,-3
179900,KW-0500,DS-1600,18
179937,BF-0100,WP-0200,0
180014,DP-0800,TC-2700,6
180136,KC-2000,DR-2600,25
180163,KC-2000,DF-0100,0
180184,KC-2000,DR-2600,61
180311,PM-0200,DS-2700,0
180418,CP-0900,AF-1400,47
180431,JF-1400,DA-0100,66
180459,JF-1400,VH-0300,2
180651,CP-0500,TP-1600,26
180659,CP-0500,CS-1100,23
181017,TR-0100,JB-8500,10
181364,MV-0300,AL-0800,33
181618,VT-0200,WP-0200,9
181716,JP-3200,JP-2000,97
181728,JP-3200,RM-0500,0
181976,KC-2000,NH-0300,0
182049,PM-0200,PB-0800,0
182072,KC-2000,CJ-2500,0
182108,KC-2000,JD-0400,34
182123,TB-2300,PS-1000,0
182134,JF-1400,RG-0600,10
182410,AB-2900,BK-0600,10
182557,CP-0900,JP-3800,3
182595,DB-2600,TB-3700,12
182608,BR-1100,CC-5000,20
182805,BL-0600,DF-1200,40
182871,BL-0600,JF-2100,0
183053,JM-2900,JW-5500,1
183149,MB-4800,KL-1500,0
183185,MB-4800,KL-1500,0
183252,MB-4800,MT-1900,5
183346,KB-1300,FS-0400,17
183358,KB-1300,SS-2600,12
183368,KB-1300,TF-1300,22
183405,MB-4500,DS-0400,23
183528,BF-0100,LT-0300,31
183549,BF-0100,TW-2200,13
183554,BF-0100,LT-0300,0
183633,DB-3800,KB-2100,2
183698,MV-0300,DF-1200,3
183791,JF-1400,TS-2900,11
183982,MB-4500,JA-3100,70
184079,JQ-0100,ST-0100,45
184093,JG-0600,TJ-0800,0
184128,JG-0600,TJ-0800,23
184176,CP-0500,AH-2700,0
184499,JH-1700,DS-1600,36
184711,TG-1600,DC-3700,0
184721,MH-1600,WM-0500,27
184735,MH-1600,TL-0500,0
184835,TB-2300,MB-3100,0
185036,TR-0100,JV-0500,14
185062,JP-3200,MA-0900,23
185132,KC-2000,KH-1600,2
185260,JD-1400,DJ-2600,0
185287,JD-1400,RH-2900,20
185301,JD-1400,LS-0800,64
185313,DM-2200,RM-0500,0
185354,JD-1400,LS-0800,0
185367,SM-2400,AG-0800,0
185371,DC-0700,AW-2000,25
185377,SM-2400,DR-2600,0
185474,SM-2400,KW-2400,0
185510,SM-2400,MC-2100,14
185521,DC-4400,AA-1200,0
185551,AB-2900,AW-1800,56
185581,DC-4400,FB-0700,0
185791,MB-4800,IG-0200,31
185831,BG-1900,JB-8500,0
185855,MH-1600,RH-2200,2
185915,MH-1600,KD-0100,2
185974,JM-2900,KL-1500,21
186006,MH-1600,DS-4000,5
186015,MH-1600,DM-0100,2
186047,DB-2600,DS-0400,48
186136,DB-2600,DS-0400,0
186149,DB-2600,CW-2400,94
186155,DB-2600,ER-0100,14
186281,JD-1400,TK-0300,0
186358,JG-0600,LS-0800,0
186391,DM-2200,AD-0300,3
186749,BL-0600,JD-0400,0
186871,MV-0300,GW-0600,0
186920,MV-0300,EW-0300,6
187074,MB-4800,SK-0500,0
187207,BV-0200,AW-1800,30
187231,BV-0200,RS-1500,19
187292,BV-0200,TS-1300,22
187517,KW-0500,CC-1100,0
187715,KC-2000,TJ-2500,55
187891,CK-1000,RB-0700,23
187974,CP-0500,CB-0100,0
187981,JP-3200,DO-0200,29
188064,JP-3200,TJ-0800,19
188304,VT-0200,DB-2800,55
188328,VT-0200,BM-0200,12
188352,VT-0200,DB-2800,30
188402,JH-1700,LF-0700,0
188458,JP-3200,PK-0200,0
188478,JP-3200,KB-2100,12
188571,JP-3200,KM-0500,66
188703,BL-0600,KW-2400,0
188738,BL-0600,DF-0100,43
188916,PM-0200,GW-0600,65
188959,DC-4400,GW-1500,39
189020,DC-4400,WA-0200,11
189163,KB-1300,ML-1600,0
189288,TB-2300,DT-1900,39
189309,TB-2300,IT-0100,0
189486,KC-2000,CH-1900,13
189559,KC-2000,SD-0200,4
189631,MH-1600,BA-0400,21
189717,JD-1400,MT-1900,58
189814,BV-0200,MW-2000,51
189844,CP-0500,AD-1700,16
189961,MB-4500,BJ-2500,23
189962,BF-0100,SS-2600,28
190044,BF-0100,SS-2600,29
190051,BF-0100,FS-0400,0
190057,MB-4500,AH-1000,29
190100,CK-1000,RH-1400,14
190223,KD-1400,NV-0100,71
190367,JF-1400,JM-3200,0
190386,JF-1400,TB-3700,0
190519,CP-0900,LM-1300,11
190664,KC-2000,WW-0800,0
190777,VT-0200,TJ-0800,0
190843,VT-0200,DO-0200,0
190862,VT-0200,MW-2000,0
191198,JH-1700,FS-0400,0
191340,AF-0300,DS-4000,41
191492,KW-0500,NV-0100,41
191498,KW-0500,JA-3100,5
191649,BR-1100,BD-0700,32
191676,DM-2200,JF-0500,41
191763,AB-2900,JW-5000,12
192034,TR-0100,AS-1000,23
192159,MB-4800,RP-0800,26
192327,TG-1600,DS-3100,0
192370,TG-1600,JP-2700,0
192541,JG-0600,ER-0100,106
192930,MV-0300,RB-0700,0
192991,BG-1900,AR-1700,8
193012,BR-1100,DM-1500,-2
193068,JG-0600,TP-1600,0
193143,KH-2100,TP-1600,0
193393,DC-0700,JN-0700,0
193424,DC-0700,GB-0700,0
193427,PM-0200,AG-0800,14
193458,PM-0200,AP-0500,20
193488,DC-0700,VH-0500,77
193543,JH-1700,RM-1300,21
193753,AB-2900,GW-0600,2
193793,TG-1600,MM-2700,14
193838,TG-1600,OR-0300,0
193905,LJ-1500,ER-0100,104
194050,TR-0100,WW-0800,0
194107,TR-0100,MF-0400,14
194165,TR-0100,BB-3600,8
194177,TR-0100,CG-0200,0
194212,MH-1600,JB-8500,0
194415,CK-1000,AD-1700,21
194424,BV-0200,MH-2100,45
194485,CK-1000,AD-1700,0
194528,CP-0500,ST-0100,0
194544,MB-4500,BS-2000,11
194604,CP-0500,WH-0200,31
194631,PR-0100,TJ-0800,1
194704,PR-0100,KH-1700,0
194741,DB-2600,EW-1400,0
194775,DB-2600,TB-3400,29
194827,DB-2600,TB-3300,17
194830,TB-2300,NC-0200,35
194858,JL-2800,TB-0300,4
195009,VT-0200,LS-0800,101
195118,VT-0200,ER-0100,2
195151,VT-0200,CW-2400,44
195205,DB-2600,TF-0500,30
195285,MB-4800,TS-2900,0
195314,MB-4800,SA-0200,0
195337,MB-4800,TM-1900,0
195401,JD-1400,AW-1500,27
195408,SK-0400,CB-2700,3
195421,SK-0400,CB-2700,76
195513,SK-0400,CG-0200,0
195606,CK-1000,JJ-1300,0
195628,PM-0200,NV-0100,30
195663,CK-1000,MD-0800,0
195746,CP-0500,JF-0500,14
195957,QC-0100,EL-0400,28
196013,SM-2400,DD-0100,7
196113,SM-2400,DW-1400,0
196154,DG-0600,RG-0300,-1
196225,DC-4400,BM-0200,7
196307,JH-1700,AW-1800,3
196372,AB-2900,AW-1600,7
196451,AB-2900,CB-0100,0
196485,AB-2900,RH-1300,76
196564,EM-0200,JW-1600,18
196604,EM-0200,BS-2500,19
196901,DM-2200,ST-0100,10
196966,PR-0100,IR-0200,7
197023,AF-0300,AC-1800,0
197049,TD-1400,AF-1400,0
197117,TD-1400,PS-1000,0
197148,AF-0300,MB-3100,63
197188,BG-1900,TP-0400,26
197211,BG-1900,TP-0400,13
197284,TR-0100,TC-2800,55
197403,BF-0100,AG-0800,0
197459,BF-0100,DR-2600,0
197552,TG-1600,RH-1100,12
197693,DH-2500,RM-3400,45
197734,VT-0200,RM-3400,40
197765,JQ-0100,TN-0400,11
197794,JQ-0100,DN-0800,2
197960,MM-2800,WB-0100,0
198080,SK-0400,JV-0500,6
198110,JM-2900,DB-0900,14
198115,JM-2900,TB-3700,18
198199,AB-2900,AR-1700,14
198235,MV-0300,CG-1800,8
198283,AB-2900,DH-0700,2
198338,JD-1400,BK-0600,0
198374,BG-1900,JP-2000,46
198437,CP-0500,AH-2700,32
198469,CP-0500,AD-0300,30
198514,KH-2100,TJ-0800,13
198575,CP-0500,BG-0200,30
198600,KH-2100,DO-0200,31
198623,DC-0700,SM-1600,11
198745,SM-2400,MM-2400,24
198908,TG-1600,DE-0400,13
198966,DC-4400,DD-0100,16
199097,KB-1300,RG-0600,13
199310,EM-0200,QM-0200,0
199343,EM-0200,BD-0700,0
199544,PR-0100,DT-1900,15
199626,AF-0300,MA-0200,0
199758,DB-2600,KH-0300,24
199792,DB-2600,KL-1500,0
199819,DB-2600,KH-0300,33
199821,MH-1600,TM-1900,0
199999,JP-3200,PB-0800,37
200015,KC-2000,EJ-0700,32
200026,KC-2000,JL-3400,2
200150,MB-4800,AC-0600,0
200328,KB-1300,MW-2000,0
200331,CP-0500,ER-0100,24
200403,DC-4400,JA-3100,52
200449,DC-4400,BU-0200,42
200543,DC-4400,JA-3100,1
200576,LM-0800,RH-1100,0
200642,TB-2300,LS-0100,12
200710,LM-0800,TB-3300,0
200793,JH-1700,DM-0100,16
200806,JN-0500,DB-2800,0
200833,JN-0500,TL-0700,1
200839,JN-0500,DB-2800,22
200868,JN-0500,JH-0300,30
200930,BV-0200,JD-0400,1
200986,PM-0200,AD-1700,44
201024,PM-0200,LT-0300,9
201062,BV-0200,GB-0700,2
201082,AF-0300,NC-0200,5
201154,AF-0300,TS-2900,33
201207,AF-0300,RB-0400,26
201244,AF-0300,PW-0900,20
