pid,qtr,min,sec,dwn,yds,pts,player,type
188046,3,0,12,1,36,7,RJ-1800,RUSH
188114,1,4,37,1,5,7,WM-0300,RUSH
188143,2,8,30,1,4,7,OA-0300,RUSH
188145,2,8,25,0,87,7,TM-1900,KR
188211,4,15,0,3,8,7,EM-1800,REC
188221,4,12,13,3,12,7,TE-0500,REC
188235,4,7,0,3,1,7,WM-0300,RUSH
188247,4,4,1,4,28,7,BJ-1800,REC
188263,1,11,5,2,1,7,KJ-1100,REC
188280,1,1,13,3,17,7,JW-6000,REC
188304,2,8,29,3,55,7,DB-2800,INT
188317,2,2,0,3,26,7,KJ-0700,REC
188332,3,14,42,1,3,7,VT-0200,RUSH
188391,4,5,38,1,50,7,DK-0700,REC
188399,4,2,0,3,38,7,KJ-0700,REC
188417,1,9,31,2,1,7,PH-0200,REC
188432,1,3,38,1,80,7,RS-2100,REC
188451,2,11,9,2,21,7,TD-2200,RUSH
188468,2,4,2,3,34,7,PP-1000,REC
188497,3,10,40,1,5,7,WD-0700,RUSH
188529,4,14,25,1,25,7,PP-1000,REC
188542,4,9,33,2,7,7,DW-1800,REC
188571,4,2,31,1,66,7,KM-0500,INT
188579,4,1,6,1,35,7,AL-0600,REC
188608,1,3,29,2,15,7,CB-2500,REC
188738,4,0,52,2,43,7,DF-0100,INT
188769,1,4,27,1,52,7,MH-1200,REC
188777,1,1,32,1,21,7,TG-1300,REC
188786,2,14,26,3,7,7,JM-6400,REC
188801,2,9,13,1,21,7,PH-0600,RUSH
188808,2,6,7,3,5,7,MP-1500,REC
188812,2,5,6,1,11,7,PH-0600,RUSH
188849,3,11,50,1,22,7,MH-1200,REC
188866,3,4,23,1,41,7,RW-1100,REC
188880,4,13,2,3,1,7,PH-0600,RUSH
188901,4,5,31,4,6,7,RW-1100,REC
188911,4,2,18,3,14,7,TG-1300,REC
188938,1,8,19,2,2,7,TB-0400,RUSH
188964,2,13,24,2,5,7,TB-0400,RUSH
189029,3,5,45,1,1,7,MC-1600,RUSH
189048,4,12,11,3,2,7,MC-1600,RUSH
189058,4,9,7,2,10,7,MB-2000,RUSH
189074,4,2,48,3,1,6,NB-0800,REC
189214,4,9,19,3,11,6,TO-0200,REC
189223,4,5,58,3,7,7,DW-2700,REC
189277,1,3,54,2,47,7,PB-1000,REC
189285,1,0,33,2,4,7,PB-1000,REC
189288,1,0,22,1,39,7,DT-1900,INT
189328,2,0,46,2,2,7,DG-1200,REC
189342,3,13,9,1,2,7,JB-3400,RUSH
189398,4,6,39,2,23,7,DG-1200,REC
189422,1,11,22,1,17,7,JP-1900,REC
189451,1,0,13,2,1,7,LT-0600,RUSH
189464,2,10,9,1,5,7,TW-1600,RUSH
189477,2,5,2,1,13,7,KM-0900,REC
189490,2,0,42,2,23,7,TD-2500,REC
189499,3,12,10,2,5,7,AG-0500,REC
189517,3,3,12,4,1,7,AG-0500,REC
189527,3,0,8,3,13,7,DJ-2100,REC
189577,1,9,18,2,3,7,SA-0600,REC
189614,2,9,11,3,4,7,SA-0600,RUSH
189625,2,5,18,2,15,7,MM-5500,REC
189726,4,1,45,3,7,7,MM-5500,REC
189807,2,0,2,4,1,7,SM-2500,REC
189814,3,12,26,3,51,7,MW-2000,INT
189841,3,2,16,3,13,7,TF-0600,REC
189848,3,0,12,2,1,7,CB-3600,RUSH
189854,4,13,50,1,6,7,RJ-1800,RUSH
189940,2,13,45,1,1,7,AG-1600,RUSH
189956,2,6,33,2,9,7,JW-0400,REC
189971,2,1,55,1,12,7,RG-0400,REC
190047,4,4,52,2,12,7,RG-0400,REC
190061,4,1,48,3,11,8,AG-1600,RUSH
190076,1,13,9,2,49,7,BB-1900,REC
190094,1,5,43,3,80,7,DC-0600,FUM
190223,4,4,5,2,71,7,NV-0100,INT
190259,1,7,32,1,35,7,WC-0100,REC
190306,2,4,42,1,21,7,RM-3100,REC
190314,2,1,17,1,27,7,JM-2200,REC
190334,3,10,38,3,25,7,CM-0600,RUSH
190351,3,2,16,2,1,7,CB-0300,REC
190369,4,11,22,1,25,7,LJ-1500,RUSH
190399,4,0,5,2,29,7,DT-1300,REC
190425,1,5,25,4,12,7,WM-0300,RUSH
190463,2,4,39,3,6,7,JM-2200,REC
190493,3,8,14,3,4,7,LE-0300,REC
190548,4,4,18,3,51,7,SM-3600,REC
190594,2,14,11,4,1,7,TW-1600,RUSH
190614,2,6,42,1,1,7,KM-0300,REC
190629,2,1,15,2,1,7,TW-1600,RUSH
190653,3,7,13,3,16,7,BH-1500,REC
190685,4,9,21,2,7,7,AZ-0100,RUSH
190719,4,2,29,1,3,7,NG-0300,REC
190822,3,9,48,3,76,7,MS-0500,REC
190877,4,2,26,3,2,7,CP-0500,RUSH
190915,1,2,0,1,34,7,JP-4400,REC
190944,2,5,16,1,1,7,DD-0400,RUSH
190953,2,2,0,1,40,7,AL-0600,REC
190965,2,0,39,3,13,7,RS-2100,REC
190980,3,11,15,3,23,7,KJ-0800,REC
191025,4,6,57,1,1,6,DD-0400,RUSH
191152,3,10,31,2,15,7,LC-0800,REC
191167,3,4,40,4,13,7,WH-0200,BLPU
191210,4,2,11,1,1,7,CS-0800,REC
191259,1,1,5,4,20,6,RK-0800,REC
191340,3,3,28,2,41,7,DS-4000,INT
191362,4,9,50,1,5,7,ES-1000,RUSH
191389,4,2,0,1,1,8,SM-3400,RUSH
191401,4,0,23,1,2,7,LF-0200,REC
191425,1,8,13,3,3,7,TB-0400,RUSH
191437,1,4,0,1,1,7,TB-0400,RUSH
191481,2,5,27,1,35,7,BB-1900,REC
191489,2,2,41,1,4,7,AT-0500,RUSH
191554,4,7,56,2,41,8,AT-0500,RUSH
191577,4,2,0,1,1,7,JS-2700,REC
191597,1,9,4,1,16,7,HW-0100,RUSH
191612,1,2,33,3,20,7,HW-0100,REC
191631,2,10,58,2,2,7,JR-2300,REC
191738,1,9,55,1,12,7,AG-0500,REC
191749,1,5,34,3,1,7,LT-0600,RUSH
191781,2,8,22,1,2,7,DM-0700,RUSH
191838,3,3,18,3,7,7,AG-0500,REC
191844,3,2,9,1,2,7,AG-0500,REC
191868,4,7,13,1,12,7,KO-0800,REC
191879,4,4,10,1,6,7,BW-1850,REC
191895,1,12,14,2,3,7,KB-0300,RUSH
191912,1,5,21,2,33,7,DJ-0100,REC
191922,1,1,31,3,28,7,CC-4100,REC
191949,2,6,39,1,1,7,SA-0600,RUSH
191962,2,2,0,1,4,7,SA-0600,RUSH
191981,3,12,50,1,39,7,BL-1200,REC
191986,3,11,24,1,25,7,KR-1100,REC
192013,3,1,39,3,39,7,DJ-0100,REC
192034,4,8,33,2,23,7,AS-1000,INT
192091,2,14,53,1,0,7,LL-1000,FUM
192103,2,9,11,2,2,7,MV-0400,REC
192111,2,5,29,1,11,7,IB-0200,REC
192153,3,7,47,4,4,7,TB-3300,REC
192163,3,3,40,1,5,7,CD-1500,RUSH
192177,4,14,18,2,16,8,TH-2300,REC
192199,4,5,30,3,4,7,BJ-1300,REC
192231,1,9,50,3,25,7,JM-6400,REC
192237,1,7,47,2,8,7,JC-4200,REC
192260,2,13,55,4,1,7,MP-1300,RUSH
192272,2,9,11,2,2,7,PH-0600,RUSH
192294,2,2,0,1,3,7,KD-1000,REC
192302,2,0,42,2,23,7,TG-1300,REC
192311,3,14,15,2,78,7,MP-1300,RUSH
192344,3,2,20,3,1,7,JD-3200,REC
192356,4,12,0,1,3,6,MP-1300,RUSH
192389,1,15,0,0,93,7,RA-0900,KR
192526,4,7,7,3,2,8,JL-1400,RUSH
192541,4,0,45,2,106,7,ER-0100,INT
192557,1,9,12,4,5,7,RW-1100,REC
192579,2,15,0,2,10,7,MP-1500,REC
192623,3,11,10,4,91,8,NB-0800,PR
192643,3,2,11,2,4,7,DC-1600,REC
192655,4,11,34,3,8,7,NB-0800,REC
192664,4,7,30,2,19,7,MP-1500,REC
192675,4,3,2,1,24,7,OS-0700,RUSH
192708,1,3,44,2,2,7,JS-2700,REC
192734,2,9,7,1,2,7,TB-0400,RUSH
192760,2,0,44,1,2,7,ES-1000,RUSH
192794,3,1,19,3,3,7,ES-1000,RUSH
192868,1,5,29,1,2,7,TD-2200,RUSH
192890,2,10,28,2,1,7,TD-2200,RUSH
192902,2,5,48,2,25,7,MC-1500,REC
192934,3,9,41,2,22,7,KD-1000,REC
192976,4,9,57,1,49,7,AC-2700,REC
193032,1,0,47,1,5,7,JB-3400,RUSH
193061,2,4,34,3,1,7,JB-3400,RUSH
193123,4,9,24,3,24,7,RS-3300,FUM
193133,4,6,28,2,7,7,AS-0800,REC
193159,1,11,18,3,50,7,JW-0400,REC
193171,1,6,31,2,13,7,JW-3000,REC
193191,2,14,13,3,1,7,TF-0400,PASS
193209,2,7,27,1,17,7,BF-1100,REC
193260,3,2,44,1,8,7,NB-0800,REC
193271,4,13,30,2,6,7,WH-0600,REC
193300,4,2,59,3,2,7,OS-0700,REC
193311,4,1,29,1,17,7,MW-2900,REC
193334,1,7,57,3,4,7,BS-4100,REC
193367,2,12,1,3,5,7,RW-1100,REC
193388,2,4,6,1,1,7,DC-1600,REC
193405,3,14,13,2,69,7,BS-4100,REC
193410,3,13,12,3,37,7,BS-0500,FUM
193434,3,2,32,4,1,7,DD-0400,RUSH
193440,3,1,50,2,80,7,DC-1600,REC
193466,4,7,50,3,1,7,DD-0400,RUSH
193488,4,1,47,2,77,7,VH-0500,INT
193506,1,8,25,3,12,7,LT-0500,REC
193595,3,5,50,3,1,7,GJ-1100,RUSH
193619,4,13,24,4,55,7,ED-0900,PR
193658,4,1,3,4,83,7,ED-0900,PR
193678,5,9,40,3,36,6,JS-4400,REC
193684,1,12,54,1,21,7,EK-0300,REC
193719,2,15,0,1,1,7,AB-2900,RUSH
193736,2,9,47,2,13,7,DM-0700,RUSH
193822,4,8,11,2,3,7,DB-2500,RUSH
193829,4,5,35,1,42,7,JH-5200,REC
193873,2,13,39,1,1,7,CM-0600,RUSH
193896,2,3,49,1,9,7,CM-0600,RUSH
193912,2,0,46,2,6,7,CM-2700,REC
193980,4,4,20,3,16,7,CM-2700,REC
194025,1,9,12,1,1,7,KB-0300,RUSH
194067,2,3,3,1,3,7,KB-0300,RUSH
194108,3,9,27,1,1,7,BB-1700,RUSH
194121,3,3,55,3,40,7,MM-5500,REC
194141,4,10,47,2,30,7,BL-1200,REC
194153,4,7,17,2,4,7,MM-5500,REC
194167,4,2,44,2,26,7,MM-5500,REC
194186,1,12,29,2,15,7,KC-2700,REC
194202,1,6,55,1,4,7,SJ-0200,RUSH
194377,1,2,24,1,29,7,DM-0500,REC
194424,2,0,29,3,45,7,MH-2100,INT
194437,3,11,25,4,75,7,RM-3400,PR
194489,4,6,8,2,47,7,DB-1700,REC
194553,1,5,42,3,1,7,RJ-1800,RUSH
194574,2,12,30,2,1,7,TS-3300,REC
194692,4,2,29,3,9,7,CC-4300,REC
194769,2,4,2,3,13,7,DP-0500,REC
194779,2,0,38,3,5,7,CF-0300,REC
194814,3,2,49,4,70,6,JS-4500,PR
194882,1,6,20,2,59,7,TO-0200,REC
194898,2,14,57,2,4,7,DL-1100,RUSH
194903,2,13,24,2,29,7,JW-6000,REC
194911,2,9,52,1,27,7,TO-0200,REC
194919,2,8,13,2,59,7,TP-1500,REC
194930,2,3,28,3,24,7,JW-6000,REC
194939,2,0,34,1,1,7,BW-1000,RUSH
194951,3,11,21,2,15,7,EG-0200,RUSH
194964,3,6,11,3,16,7,TO-0200,REC
195009,4,4,39,3,101,7,LS-0800,INT
195115,3,7,0,1,17,7,DD-1500,REC
195124,3,4,38,3,31,7,KJ-0600,REC
195151,4,10,53,1,44,7,CW-2400,INT
195156,4,9,49,2,1,6,CT-0100,RUSH
195176,4,0,43,2,1,7,JR-2700,REC
195206,1,2,55,1,18,7,IB-0200,REC
195219,2,14,2,2,10,7,MC-0200,REC
195229,2,11,9,1,19,7,MC-0200,REC
195245,2,3,12,3,11,7,TH-2300,REC
195266,3,13,48,1,5,7,MC-0200,REC
195272,3,11,32,4,86,7,NC-0200,PR
195372,1,6,59,1,2,7,NG-0300,RUSH
195384,1,2,3,2,57,7,NG-0300,RUSH
195423,2,4,35,2,1,7,NG-0300,RUSH
195442,2,0,9,2,28,7,MM-5500,REC
195460,3,9,27,3,21,7,LF-0200,REC
195501,4,11,46,3,17,7,MM-5500,REC
195546,1,9,11,1,14,7,MP-1500,REC
195574,2,14,12,1,35,7,RW-1100,REC
195601,2,5,46,2,10,7,MH-1200,REC
195636,3,8,34,1,27,7,RW-1100,REC
195653,3,0,48,1,11,7,EJ-0200,RUSH
195687,4,1,43,1,2,7,DL-2500,REC
195725,1,1,14,1,36,7,CJ-1200,REC
195746,2,7,11,3,14,7,JF-0500,INT
195754,2,4,3,1,19,7,KW-0700,REC
195794,3,2,53,3,8,7,DK-1100,REC
195895,2,11,9,2,3,7,AS-0800,REC
195987,4,5,38,1,11,7,JM-2200,REC
196057,2,6,57,1,37,7,DM-0500,REC
196103,3,1,6,2,5,7,DG-0600,RUSH
196141,4,3,34,1,2,8,AS-2500,RUSH
196156,1,15,0,0,92,7,ED-0900,KR
196161,1,13,25,2,8,7,JW-3000,REC
196178,1,5,57,3,1,7,SA-0700,REC
196273,4,14,22,3,6,8,NB-0800,REC
196295,4,5,29,2,1,7,MW-2900,RUSH
196316,1,13,24,1,51,7,RD-1800,RUSH
196327,1,9,43,1,37,7,AL-0600,REC
196372,2,7,14,3,7,7,AW-1600,INT
196384,2,3,35,3,30,7,DS-3600,REC
196438,4,14,53,3,19,7,KJ-0800,REC
196504,1,7,6,3,6,7,AC-2700,REC
196535,2,9,14,3,2,7,AC-2700,REC
196591,3,4,50,2,6,7,JS-2700,REC
196659,1,9,11,3,11,6,AG-0500,REC
196697,2,10,12,2,6,7,DB-3800,RUSH
196706,2,6,45,2,22,7,RC-3100,REC
196761,3,2,1,1,8,7,TJ-1500,REC
196777,4,11,9,3,6,7,LT-0600,RUSH
196840,1,0,41,2,2,7,CL-0900,REC
196916,3,3,11,3,10,7,TO-0200,REC
196943,4,9,1,3,1,7,BW-1000,REC
196951,4,7,1,1,14,7,BW-1000,REC
196981,1,9,25,2,21,7,JR-2000,REC
196998,1,4,30,3,7,7,AF-0300,RUSH
197041,2,4,40,1,4,7,SA-0600,RUSH
197081,3,10,39,1,16,7,CC-1300,REC
197148,4,1,5,1,63,7,MB-3100,INT
197165,1,11,55,1,14,7,MP-1300,RUSH
197202,2,8,53,3,9,7,JJ-5200,REC
197232,2,0,27,1,42,7,JJ-5200,REC
197245,3,10,3,1,6,7,MP-1300,RUSH
197284,4,8,26,3,55,7,TC-2800,INT
197358,2,7,41,1,6,7,DD-0400,REC
197431,4,12,35,1,24,7,DD-2600,REC
197483,1,10,33,1,5,7,CD-1500,RUSH
197500,1,3,50,2,65,7,EK-0300,REC
197524,2,8,30,2,1,7,CD-1500,RUSH
197577,3,5,3,1,26,7,DB-3600,REC
197609,4,6,19,1,26,6,EK-0300,REC
197641,1,10,50,2,33,7,JJ-4800,RUSH
197693,2,6,7,3,45,7,RM-3400,INT
197762,4,11,15,2,5,7,DB-0800,REC
197772,4,7,5,2,4,7,JJ-4800,RUSH
197808,1,10,19,2,4,7,BS-4100,REC
197828,1,4,25,1,12,6,BS-4100,REC
197872,2,2,29,3,25,7,BS-4100,REC
197879,2,0,53,2,13,7,MH-1200,REC
197900,3,9,26,2,10,7,MH-1200,REC
197919,3,2,15,2,5,7,MH-1200,REC
198066,3,2,51,1,69,7,SM-3600,REC
198132,1,7,43,1,16,7,MV-0300,RUSH
198155,2,12,31,1,1,7,SP-1800,REC
198229,3,2,24,3,1,8,AB-2900,RUSH
198244,4,12,1,3,7,7,JH-5200,REC
198272,4,1,47,1,20,7,AC-2700,REC
198296,1,9,30,3,24,7,KC-1500,REC
198349,2,2,0,3,6,7,MP-1300,REC
198374,3,8,46,2,46,7,JP-2000,INT
198410,4,6,46,3,8,7,MP-1300,REC
198429,4,0,27,1,40,7,KC-1500,REC
198438,1,14,35,1,7,7,SH-0600,REC
198443,1,13,6,1,18,7,KW-0700,REC
198452,1,10,18,1,46,7,CJ-1200,REC
198497,2,6,24,2,3,7,TH-2700,REC
198522,3,13,41,2,20,7,SH-0600,REC
198527,3,12,15,2,53,7,TH-2700,REC
198536,3,8,41,2,9,7,AB-3800,REC
198545,3,4,39,3,7,7,RJ-1800,RUSH
198550,3,3,50,1,55,7,AB-3800,REC
198572,4,10,56,1,1,7,WG-0700,RUSH
198576,4,10,29,1,1,7,SH-0600,REC
198585,4,6,34,1,7,7,RJ-1800,RUSH
198600,4,1,52,1,31,7,DO-0200,INT
198619,1,10,19,2,12,7,EK-0600,REC
198629,1,5,50,3,11,7,EK-0600,REC
198657,2,10,42,1,4,7,DM-0500,REC
198666,2,6,53,2,7,7,JW-1900,RUSH
198696,3,9,27,3,14,7,BM-2200,REC
198713,3,2,44,3,11,7,AJ-0900,REC
198747,4,1,42,2,41,7,DD-0400,RUSH
198772,1,7,5,2,1,7,LT-0600,RUSH
198781,1,4,32,1,5,7,DB-2500,RUSH
198804,2,9,8,3,6,7,LJ-0900,RUSH
198819,2,3,15,1,3,7,LT-0600,RUSH
198880,4,14,25,2,22,6,DB-2500,RUSH
198889,4,10,20,1,18,7,AG-0500,REC
198892,4,10,13,0,96,8,DH-0600,KR
198903,4,6,28,1,11,7,AG-0500,REC
198962,2,13,46,1,26,7,BJ-2300,REC
198980,2,6,25,2,1,7,DC-4400,RUSH
199021,3,5,38,3,2,7,RM-5000,REC
199068,4,2,18,3,77,7,KW-1400,FUM
199208,4,15,0,2,1,8,CD-1500,RUSH
199212,4,14,23,2,0,7,JG-3400,FUM
199285,2,15,0,3,4,7,DM-2200,RUSH
199364,3,1,52,2,1,7,BW-1000,RUSH
199380,4,10,3,1,34,7,BW-1000,REC
199452,2,11,56,1,4,7,JB-3400,RUSH
199509,3,3,29,4,2,7,CC-4300,REC
199575,1,9,17,1,25,7,CC-1300,REC
199674,4,14,57,1,46,7,DS-2900,FUM
199690,4,11,56,3,15,7,RM-3100,REC
199717,4,3,17,2,1,7,DP-1800,FUM
199728,4,0,49,1,1,7,MH-2500,RUSH
199742,1,10,44,3,2,7,WM-0300,RUSH
199811,2,0,10,3,3,7,LE-0300,REC
199832,3,6,48,1,2,7,WM-0300,RUSH
199863,4,10,47,4,30,7,WM-0300,RUSH
199874,4,7,18,2,1,7,WM-0300,RUSH
199886,4,3,45,3,8,6,BE-0600,REC
199964,2,0,56,2,85,7,RS-2100,REC
199969,2,0,23,3,42,7,JP-3400,REC
199978,3,12,56,1,14,6,JP-3400,REC
200011,4,14,32,1,3,7,RD-1800,RUSH
200015,4,13,39,2,32,7,EJ-0700,INT
200035,4,6,18,1,6,6,RC-3100,REC
200047,4,1,55,4,5,6,JP-3400,REC
200065,1,12,34,3,40,7,AC-0600,FUM
200115,2,7,31,2,7,7,BF-1100,REC
200127,2,2,56,1,10,7,JW-0400,REC
200139,2,0,36,2,4,7,IB-0200,REC
200176,3,1,51,1,16,7,DD-2600,REC
200185,4,14,23,1,8,7,MF-0300,REC
200211,4,2,0,4,40,7,ND-0100,RUSH
200219,4,0,58,1,34,7,MH-2000,FUM
200317,3,8,17,1,1,7,CT-0100,RUSH
200331,3,3,32,1,64,7,CM-1200,FUM
200340,4,15,0,2,13,7,CJ-1200,REC
200351,4,10,44,1,12,7,CJ-1200,REC
200365,4,5,50,1,9,7,TH-2700,REC
200413,1,4,52,3,6,7,DC-1900,REC
200425,1,1,22,3,4,7,NB-0800,REC
200458,2,2,32,1,40,7,MR-1400,REC
200471,2,0,27,3,15,7,DT-0500,REC
200521,4,10,29,3,5,7,JM-3300,REC
200551,1,15,0,0,93,7,BJ-1300,KR
200588,1,0,21,2,4,7,CD-1500,RUSH
200610,2,6,57,2,1,7,CD-1500,RUSH
200635,2,0,57,3,16,7,AB-3800,REC
200647,3,13,42,3,41,7,RG-0600,FUM
200663,3,7,34,1,10,7,KF-0200,RUSH
200670,3,6,8,3,44,7,DP-0500,REC
200696,4,10,13,1,40,8,AB-3800,REC
200749,1,3,10,2,17,7,TS-3400,REC
200774,2,8,17,2,2,7,KJ-1100,RUSH
200789,2,3,48,2,33,6,FJ-0500,REC
200904,1,10,45,1,48,7,DB-1700,REC
200920,1,5,16,2,24,7,MH-1200,REC
200925,1,4,0,2,28,7,DB-1700,REC
200933,1,1,36,1,4,7,EJ-0200,RUSH
200939,1,0,6,1,48,7,DB-1700,REC
200955,2,9,9,2,28,7,BS-4100,REC
200965,2,5,18,4,75,7,RM-4900,BLFG
201014,3,4,43,2,12,7,EJ-0200,RUSH
201035,4,13,1,2,10,7,RW-1100,REC
201066,1,15,0,0,104,7,TM-1900,KR
201074,1,12,23,2,27,7,BG-0700,REC
201088,1,8,0,1,15,7,TE-0500,REC
201095,1,5,59,2,2,7,CC-1300,REC
201109,1,2,39,2,15,7,DL-0600,REC
201136,2,8,44,1,21,7,LE-0300,REC
201201,3,0,2,1,69,7,LE-0300,REC
201210,4,12,50,3,30,7,EM-1800,REC
201229,4,7,23,2,3,8,TM-2800,RUSH
201244,4,2,5,1,20,7,PW-0900,INT
201295,1,0,58,1,10,7,MM-5500,REC
201306,2,12,7,2,6,7,NG-0300,RUSH
201335,2,1,42,3,13,7,JH-5200,REC
201372,3,6,41,3,24,7,JH-5200,REC
201424,4,0,45,4,25,7,DS-3600,REC
201479,2,4,50,1,2,7,DD-0400,RUSH
201513,3,8,4,2,4,7,CM-0600,RUSH
201534,4,13,38,2,5,6,CM-0600,REC
201546,4,9,10,1,2,7,AB-1100,REC
201593,1,4,27,2,20,7,DB-2500,REC
201625,2,9,12,1,34,7,RC-3100,REC
201634,2,6,5,3,51,7,JP-3400,REC
201668,3,10,28,1,5,7,LJ-0900,RUSH
201684,3,4,23,2,10,7,LJ-0900,REC
201696,4,14,18,1,26,7,RC-3100,REC
201724,4,2,14,2,70,7,EK-0300,REC
201758,1,6,8,1,41,7,TO-0200,REC
201785,2,10,35,3,9,7,BW-1000,REC
201800,2,5,45,3,41,7,BW-1000,REC
201811,2,3,9,1,6,7,LS-1000,REC
201819,2,1,52,1,12,7,BW-1000,REC
201896,4,8,26,2,1,7,WH-0600,REC
201912,4,2,28,1,17,7,JW-0400,REC
201928,1,12,6,3,5,7,LT-0600,RUSH
201964,2,13,32,1,16,7,TB-1000,RUSH
201981,2,7,9,3,1,7,LT-0600,RUSH
202049,4,14,23,3,4,7,RD-1800,RUSH
202138,2,9,36,2,22,7,TH-2300,REC
202260,1,7,13,1,4,7,MP-1300,RUSH
202329,3,10,12,1,36,7,JG-0500,REC
202384,4,2,0,1,1,7,MA-0600,RUSH
202408,1,5,50,1,1,7,CP-2100,RUSH
202446,2,4,48,2,4,7,CP-2100,REC
202458,2,0,48,2,9,7,RR-1300,REC
202483,3,5,38,0,92,7,DW-0900,KR
202502,4,11,48,3,6,7,CC-4300,REC
202548,1,9,54,1,37,7,HW-0100,REC
202562,1,2,12,3,22,7,TE-0200,REC
202574,2,11,53,2,26,7,JR-2300,REC
202691,1,10,49,3,27,7,JR-2000,REC
202710,1,3,51,1,2,7,DJ-0100,REC
202741,2,6,13,1,9,6,TC-2500,REC
202760,2,0,35,3,8,7,JJ-4800,RUSH
202770,3,13,49,1,10,7,JJ-4800,RUSH
202819,4,9,35,4,1,7,SA-0600,RUSH
202832,4,5,34,2,19,8,JU-0200,REC
202842,4,2,53,4,32,7,SA-0600,RUSH
202848,4,1,54,1,34,7,KJ-0700,REC
202858,4,0,37,2,17,7,JJ-4800,RUSH
202879,1,9,52,3,5,7,BL-1200,REC
202904,2,13,41,2,19,7,CW-3200,REC
202917,2,8,24,3,1,7,MH-2500,RUSH
202954,3,10,4,3,27,7,CW-3200,REC
202973,3,2,4,1,4,7,OA-0300,RUSH
202988,4,12,1,2,1,7,OA-0300,RUSH
203020,4,2,47,1,8,8,ES-1000,RUSH
203108,2,8,52,2,28,7,TD-2200,RUSH
203124,2,2,15,3,2,7,TD-2200,RUSH
203132,2,1,25,1,39,7,RC-1700,INT
203159,3,5,35,1,4,7,TD-2200,RUSH
203184,4,9,2,3,1,7,TD-2200,RUSH
203202,4,3,31,2,1,7,ZC-0200,RUSH
203219,1,12,9,3,12,7,CM-2700,REC
203271,2,7,14,2,6,7,TH-1100,REC
203286,2,2,56,4,50,7,OU-0100,FUM
203297,2,0,27,3,8,7,CM-2700,REC
203339,3,1,49,2,1,7,TH-1100,REC
203373,4,3,53,1,1,7,TB-0400,RUSH
203430,1,1,51,3,3,7,DN-1400,REC
203452,2,9,46,3,7,7,LE-0300,REC
203469,2,3,1,2,13,7,WM-0300,RUSH
203514,4,14,54,1,6,7,WM-0300,RUSH
203545,4,2,6,1,4,7,SW-1400,RUSH
203566,1,7,22,2,14,7,MM-5500,REC
203581,1,1,7,2,1,7,NG-0300,RUSH
203586,1,0,17,3,75,7,TH-2300,REC
203738,1,0,27,1,1,7,JJ-4800,RUSH
203766,2,6,0,2,5,7,DM-0700,RUSH
203853,4,5,27,2,4,7,DM-0700,RUSH
203862,4,2,53,3,31,7,JH-5200,REC
203904,1,3,5,2,8,7,MB-2800,REC
203915,2,13,12,1,7,7,TB-1000,RUSH
203927,2,8,43,1,11,7,SM-3400,RUSH
203958,2,1,25,1,11,7,TB-1000,RUSH
204088,2,14,27,1,24,7,KJ-1100,RUSH
204162,3,3,15,1,23,7,DD-2600,REC
204227,1,10,42,3,3,7,MH-1200,REC
204243,1,3,41,2,12,7,RW-1100,REC
204265,2,8,30,3,3,7,JW-1900,REC
204315,3,6,24,1,15,7,DD-0400,RUSH
204407,1,3,23,3,6,7,RW-2400,REC
204512,4,9,32,3,31,7,JS-4400,REC
204568,1,3,47,1,5,7,OS-0700,RUSH
204577,1,1,21,1,35,7,BE-0600,REC
204589,2,12,20,1,12,7,SA-0600,REC
204609,2,5,11,3,3,7,RM-5000,REC
204616,2,3,10,1,19,7,DJ-0100,REC
204733,1,5,11,3,1,7,CD-1500,RUSH
204757,2,10,5,3,2,7,MS-0500,REC
204762,2,8,38,1,48,7,DP-0500,REC
204765,2,8,27,1,34,7,AS-0100,INT
204778,2,2,36,2,5,7,CJ-1200,REC
204786,2,0,25,2,4,7,KF-0200,RUSH
204803,3,9,19,1,17,7,CF-0300,REC
204818,3,3,14,4,11,7,KL-0400,RUSH
204858,4,3,55,1,27,7,KW-0700,REC
204983,4,12,56,3,10,7,JT-4300,REC
205006,4,3,50,3,12,7,JB-3400,RUSH
205059,2,12,1,1,79,7,EP-0100,REC
205067,2,9,10,1,36,7,JG-0500,REC
205092,2,0,55,3,19,7,KO-0800,REC
205122,3,5,0,3,4,7,JG-0500,REC
205132,3,0,35,2,7,7,LT-0600,RUSH
205156,4,6,59,1,20,7,MC-1500,REC
205165,4,4,18,1,30,7,DE-0400,INT
205189,1,14,17,2,5,7,CP-2100,RUSH
205198,1,13,3,1,2,7,LS-1000,REC
205304,3,0,30,1,1,7,DL-1100,RUSH
205318,4,12,8,1,2,7,CP-2100,RUSH
205377,1,7,23,1,1,7,CB-3600,RUSH
205403,2,13,38,2,42,7,DB-1700,REC
205408,2,12,37,1,58,7,EK-0300,REC
205437,2,1,23,1,30,7,JM-6400,REC
205444,2,0,15,1,22,7,DB-1700,REC
205458,3,10,38,3,1,7,DB-2500,RUSH
205469,3,7,27,1,7,7,DB-1700,REC
205473,3,6,40,1,46,7,LJ-0900,RUSH
205513,4,4,56,2,41,7,LJ-0900,RUSH
205525,4,2,30,3,4,7,DM-0500,REC
205544,4,0,37,1,9,7,EK-0300,REC
205548,4,0,19,2,39,7,KM-2100,FUM
205569,1,7,21,3,3,7,BF-0400,REC
205601,2,7,27,2,6,7,MM-5500,REC
205646,3,6,53,2,6,7,WD-0700,RUSH
